T [K],F [eV/atom]
107.07999999999996,-4.263009066235573
107.09499999999997,-4.263008963942432
107.11000000000003,-4.263008862062139
107.12499999999994,-4.263008760780266
107.13999999999994,-4.263008660264077
107.15500000000002,-4.263008560580571
107.17000000000006,-4.263008461806942
107.18500000000004,-4.26300836405552
107.20000000000005,-4.263008267428916
107.21499999999995,-4.263008171992787
107.23000000000002,-4.263008077844638
107.24499999999999,-4.263007985140764
107.26000000000005,-4.263007894013326
107.27499999999999,-4.263007804504654
107.29000000000003,-4.263007716572865
107.305,-4.263007630258025
107.32000000000005,-4.263007545605025
107.33500000000005,-4.263007462603101
107.34999999999994,-4.2630073812813425
107.36500000000004,-4.263007301606794
107.37999999999995,-4.263007223425555
107.39500000000005,-4.263007146612271
107.40999999999997,-4.263007071150826
107.42500000000001,-4.263006997036883
107.43999999999998,-4.263006924207809
107.45499999999994,-4.2630068526225395
107.47000000000003,-4.263006782362479
107.48499999999997,-4.2630067135254155
107.49999999999999,-4.263006646127506
107.51500000000006,-4.263006580127802
107.53000000000003,-4.263006515398984
107.545,-4.263006451773942
107.56000000000006,-4.263006389189845
107.57500000000002,-4.263006327664524
107.58999999999996,-4.26300626719517
107.60500000000005,-4.26300620780636
107.62,-4.2630061495823455
107.63499999999995,-4.263006092563522
107.64999999999996,-4.263006036655212
107.665,-4.26300598168428
107.68000000000004,-4.2630059274812675
107.695,-4.2630058738800685
107.71000000000002,-4.263005820716906
107.72500000000004,-4.263005767944286
107.73999999999997,-4.263005715493422
107.75500000000001,-4.263005663213722
107.77000000000004,-4.263005610918935
107.78499999999995,-4.263005558401048
107.8,-4.263005505573267
107.81500000000003,-4.263005452326734
107.83000000000006,-4.263005398525252
107.845,-4.263005344233291
107.85999999999996,-4.2630052895874195
107.87500000000004,-4.263005234681131
107.88999999999997,-4.263005179588834
107.90500000000002,-4.26300512441122
107.91999999999997,-4.26300506934965
107.935,-4.263005014555732
107.95000000000005,-4.2630049601423154
107.96499999999997,-4.263004906365182
107.98000000000003,-4.263004853426968
107.99499999999995,-4.263004801451507
108.01000000000002,-4.263004750603169
108.02500000000003,-4.263004701016156
108.04000000000003,-4.263004652789968
108.05499999999994,-4.263004605914375
